Technology,Use,Diameter,HousingType,MonthlyWaste
R,DOMESTIC,15.0,B,9930.741758241758
R,DOMESTIC,15.0,C,5085.247252747253
R,DOMESTIC,15.0,U,94.45054945054945
R,DOMESTIC,15.0,C,8580.741758241758
R,DOMESTIC,15.0,D,13438.26923076923
R,DOMESTIC,15.0,D,7055.775401069519
R,DOMESTIC,15.0,C,10641.263736263736
R,COMERCIAL,15.0,B,44.917582417582416
R,DOMESTIC,15.0,D,3602.6373626373625
R,INDUSTRIAL,15.0,W,0.0
R,DOMESTIC,15.0,B,2310.1648351648355
R,DOMESTIC,15.0,E,4656.428571428572
R,DOMESTIC,15.0,D,3696.6758241758243
R,DOMESTIC,15.0,B,1286.2087912087911
R,DOMESTIC,15.0,D,6018.049450549451
R,DOMESTIC,15.0,C,6604.8626373626375
R,DOMESTIC,15.0,B,1872.857142857143
R,DOMESTIC,15.0,B,4852.252747252747
R,DOMESTIC,15.0,C,3437.142857142857
R,DOMESTIC,15.0,B,2364.5604395604396
R,DOMESTIC,15.0,C,9206.858638743455
R,DOMESTIC,15.0,E,5430.082417582417
R,DOMESTIC,15.0,C,5197.7830188679245
R,COMERCIAL,15.0,B,19.78021978021978
R,DOMESTIC,15.0,C,3720.1648351648355
R,DOMESTIC,15.0,D,4037.4725274725274
R,AJUNTAMENT,15.0,W,0.0
R,DOMESTIC,15.0,D,7375.054945054945
R,DOMESTIC,15.0,C,6308.15934065934
R,DOMESTIC,15.0,C,8987.637362637364
R,DOMESTIC,15.0,C,4295.521978021978
R,DOMESTIC,15.0,C,4971.84065934066
R,DOMESTIC,15.0,C,7414.532967032967
R,DOMESTIC,15.0,C,7094.010989010989
E,DOMESTIC,15.0,D,16523.24175824176
R,DOMESTIC,15.0,B,0.24793388429752067
R,DOMESTIC,15.0,D,5282.225274725275
R,DOMESTIC,15.0,C,7625.604395604396
R,DOMESTIC,15.0,C,559.3681318681319
R,DOMESTIC,15.0,B,4225.116279069768
R,DOMESTIC,15.0,C,6305.686813186813
R,COMERCIAL,15.0,B,1230.0824175824177
R,DOMESTIC,15.0,U,182.3076923076923
R,DOMESTIC,15.0,C,4350.0
R,DOMESTIC,15.0,C,2612.0481927710844
R,DOMESTIC,15.0,D,9097.417582417582
R,DOMESTIC,15.0,C,1929.8076923076924
R,DOMESTIC,15.0,B,4049.505494505495
E,DOMESTIC,15.0,B,15489.148351648351
R,DOMESTIC,15.0,B,9867.60989010989
R,COMERCIAL,15.0,W,2065.302197802198
R,DOMESTIC,15.0,C,7119.065934065934
R,DOMESTIC,15.0,C,8369.818181818182
R,DOMESTIC,15.0,B,13710.576923076924
R,COMERCIAL,15.0,B,2544.065934065934
R,DOMESTIC,15.0,U,141.08433734939757
R,DOMESTIC,15.0,D,2498.0769230769233
R,DOMESTIC,15.0,C,4250.7692307692305
R,DOMESTIC,15.0,B,5162.554945054945
R,DOMESTIC,15.0,C,7604.093406593407
R,DOMESTIC,15.0,B,7942.335164835165
R,DOMESTIC,15.0,C,11729.917582417582
R,COMERCIAL,15.0,B,600.3321033210332
R,DOMESTIC,15.0,B,3013.3516483516487
R,DOMESTIC,15.0,C,9328.186813186814
R,DOMESTIC,15.0,B,4271.373626373626
R,DOMESTIC,15.0,C,13173.873626373626
R,DOMESTIC,15.0,D,8962.680412371134
R,DOMESTIC,15.0,D,5556.593406593407
R,DOMESTIC,15.0,C,5133.050847457627
R,DOMESTIC,15.0,B,8394.148351648351
R,DOMESTIC,15.0,C,5175.824175824176
R,DOMESTIC,15.0,C,6960.65934065934
R,DOMESTIC,15.0,B,11457.527472527472
R,DOMESTIC,15.0,C,2.060085836909871
R,DOMESTIC,15.0,C,13095.567010309278
R,DOMESTIC,15.0,D,12017.637362637364
R,DOMESTIC,15.0,C,4525.961538461538
R,DOMESTIC,15.0,C,8090.604395604396
R,DOMESTIC,15.0,C,7588.846153846153
R,DOMESTIC,15.0,B,4232.6373626373625
R,DOMESTIC,15.0,C,4456.565934065934
R,DOMESTIC,15.0,D,7937.120418848168
R,DOMESTIC,15.0,B,5744.505494505494
R,DOMESTIC,15.0,B,3112.087912087912
R,DOMESTIC,15.0,D,12486.758241758242
E,DOMESTIC,15.0,B,15685.631868131866
R,DOMESTIC,15.0,C,1286.7015706806283
R,DOMESTIC,15.0,B,13593.626373626374
R,DOMESTIC,15.0,C,4701.016483516484
R,DOMESTIC,15.0,D,7148.983516483516
R,DOMESTIC,15.0,D,6067.582417582417
R,DOMESTIC,15.0,E,8617.005494505494
R,COMERCIAL,15.0,W,13272.841328413284
R,DOMESTIC,15.0,C,13423.262195121952
R,DOMESTIC,15.0,B,10323.296703296703
R,DOMESTIC,15.0,C,7719.065934065933
R,DOMESTIC,15.0,D,7690.879120879121
R,COMERCIAL,15.0,W,2690.2734375
R,DOMESTIC,15.0,B,5541.923076923077
R,DOMESTIC,15.0,U,86.37362637362638
R,DOMESTIC,15.0,C,5937.60989010989
R,DOMESTIC,15.0,C,5261.915887850467
R,DOMESTIC,15.0,E,3960.3296703296705
E,DOMESTIC,15.0,D,14857.5
R,DOMESTIC,15.0,E,13844.58791208791
R,DOMESTIC,15.0,C,3653.4065934065934
R,DOMESTIC,15.0,B,31.216216216216218
R,DOMESTIC,15.0,B,6761.785714285714
R,INDUSTRIAL,15.0,B,3815.1923076923076
R,DOMESTIC,15.0,B,3968.0769230769233
R,DOMESTIC,15.0,C,6910.1373626373625
R,COMERCIAL,15.0,B,5805.412087912088
R,DOMESTIC,15.0,C,10198.846153846154
R,DOMESTIC,15.0,D,7264.038461538462
R,DOMESTIC,15.0,B,509.8351648351648
R,DOMESTIC,15.0,C,4586.043956043955
R,DOMESTIC,15.0,C,8443.68131868132
R,COMERCIAL,15.0,W,6127.005494505494
R,DOMESTIC,15.0,C,8260.302197802197
R,DOMESTIC,15.0,B,3303.7087912087914
R,DOMESTIC,15.0,D,5148.296703296703
R,DOMESTIC,15.0,C,8172.079646017699
R,COMERCIAL,15.0,B,17705.19230769231
R,DOMESTIC,15.0,B,9308.81868131868
R,DOMESTIC,15.0,B,0.0
R,DOMESTIC,15.0,C,3490.0
R,DOMESTIC,15.0,C,6473.818681318682
R,DOMESTIC,15.0,C,7366.384615384615
R,DOMESTIC,15.0,D,10788.543956043955
R,DOMESTIC,15.0,E,3608.1081081081084
R,DOMESTIC,15.0,C,8645.43956043956
R,DOMESTIC,15.0,C,3919.945054945055
R,DOMESTIC,15.0,C,5118.782608695652
R,COMERCIAL,15.0,B,6798.296703296703
R,DOMESTIC,15.0,B,10656.18131868132
R,COMERCIAL,15.0,W,2497.692307692308
R,DOMESTIC,15.0,C,11511.016483516483
R,DOMESTIC,15.0,C,6187.417582417583
R,DOMESTIC,15.0,C,5616.758241758242
R,DOMESTIC,15.0,C,1590.253164556962
R,DOMESTIC,15.0,C,1698.7087912087911
R,DOMESTIC,15.0,D,5943.956043956045
R,DOMESTIC,15.0,C,3787.5824175824177
R,DOMESTIC,15.0,C,6573.543956043955
R,DOMESTIC,15.0,C,1448.4065934065934
R,DOMESTIC,15.0,C,7379.34065934066
R,DOMESTIC,15.0,B,3781.4835164835167
R,DOMESTIC,15.0,B,9886.401098901099
R,DOMESTIC,15.0,B,6156.593406593407
R,DOMESTIC,15.0,B,7177.5
R,DOMESTIC,15.0,C,3351.0164835164833
R,DOMESTIC,15.0,B,9527.637362637364
R,DOMESTIC,15.0,C,4007.4725274725274
R,DOMESTIC,15.0,C,0.0
R,DOMESTIC,15.0,C,7782.197802197802
R,AJUNTAMENT,15.0,W,296.1263736263736
R,DOMESTIC,15.0,C,10089.313186813186
R,DOMESTIC,15.0,D,6172.6648351648355
R,DOMESTIC,15.0,C,7254.148351648351
R,DOMESTIC,15.0,E,12232.08791208791
R,DOMESTIC,15.0,B,5498.571428571428
R,DOMESTIC,15.0,U,113.4065934065934
R,DOMESTIC,15.0,C,10745.357142857143
R,COMERCIAL,15.0,B,15592.80487804878
R,DOMESTIC,15.0,C,9432.857142857143
R,DOMESTIC,15.0,B,6837.3626373626375
E,DOMESTIC,15.0,C,16340.686813186812
R,DOMESTIC,15.0,C,11245.714285714284
R,DOMESTIC,15.0,B,7214.258241758242
R,DOMESTIC,15.0,B,5618.324175824176
R,DOMESTIC,15.0,C,3383.489010989011
R,DOMESTIC,15.0,B,2737.0054945054944
R,DOMESTIC,15.0,D,3196.401098901099
R,DOMESTIC,15.0,E,11704.945054945054
R,DOMESTIC,15.0,D,9843.04945054945
R,DOMESTIC,15.0,B,9286.813186813186
R,DOMESTIC,15.0,C,10719.478021978022
R,DOMESTIC,15.0,C,3272.8846153846152
R,DOMESTIC,15.0,C,3167.39010989011
R,DOMESTIC,15.0,C,7151.6814159292035
R,DOMESTIC,15.0,B,4128.873626373626
R,DOMESTIC,15.0,U,966.5934065934066
R,DOMESTIC,15.0,E,7184.175824175824
R,DOMESTIC,15.0,C,8947.582417582418
R,COMERCIAL,15.0,C,66.5934065934066
R,DOMESTIC,15.0,C,7926.666666666667
R,DOMESTIC,15.0,B,660.3296703296703
R,DOMESTIC,15.0,C,12078.04945054945
R,DOMESTIC,15.0,C,4065.3296703296705
R,DOMESTIC,15.0,C,6060.741758241758
R,DOMESTIC,15.0,D,11627.637362637364
R,DOMESTIC,15.0,C,3053.159340659341
R,DOMESTIC,15.0,C,9506.785714285716
R,COMERCIAL,15.0,W,9412.258064516129
R,DOMESTIC,15.0,C,6544.450549450549
R,DOMESTIC,15.0,B,8677.747252747253
R,DOMESTIC,15.0,B,5178.379120879121
R,DOMESTIC,15.0,C,2177.39010989011
R,DOMESTIC,15.0,C,7714.285714285715
R,DOMESTIC,15.0,C,2843.653846153846
R,DOMESTIC,15.0,D,10641.840659340658
R,DOMESTIC,15.0,E,11318.81868131868
R,DOMESTIC,15.0,D,11834.835164835165
R,DOMESTIC,15.0,C,13049.752747252747
R,DOMESTIC,15.0,U,2844.230769230769
R,DOMESTIC,15.0,D,2023.2692307692307
R,DOMESTIC,15.0,B,2947.087912087912
R,DOMESTIC,15.0,C,2158.695652173913
R,DOMESTIC,15.0,B,4532.142857142858
R,DOMESTIC,15.0,C,3610.7967032967035
R,DOMESTIC,15.0,D,6728.076923076923
R,DOMESTIC,15.0,D,1798.021978021978
R,DOMESTIC,15.0,C,9585.576923076924
R,DOMESTIC,15.0,D,7101.758241758242
R,DOMESTIC,15.0,C,6281.950549450549
R,DOMESTIC,15.0,B,346.7307692307692
R,COMERCIAL,15.0,W,1439.7527472527472
R,DOMESTIC,15.0,C,5230.961538461538
R,DOMESTIC,15.0,B,3855.0
R,COMERCIAL,15.0,B,120.50420168067227
R,DOMESTIC,15.0,D,9305.92885375494
R,DOMESTIC,15.0,B,8625.824175824177
R,DOMESTIC,15.0,D,5627.802197802198
R,DOMESTIC,15.0,D,5998.5989010989015
R,DOMESTIC,15.0,C,7616.126373626374
R,DOMESTIC,15.0,B,3792.6923076923076
R,DOMESTIC,15.0,D,6535.714285714286
R,DOMESTIC,15.0,C,9828.543956043955
R,DOMESTIC,15.0,C,8981.703296703297
R,DOMESTIC,15.0,E,0.8108108108108109
R,DOMESTIC,15.0,C,6584.010989010989
R,DOMESTIC,15.0,C,3229.697802197802
R,DOMESTIC,15.0,E,6863.736263736264
R,COMERCIAL,15.0,W,4359.313186813187
R,DOMESTIC,15.0,C,1114.2857142857144
R,DOMESTIC,15.0,C,4839.065934065934
R,COMERCIAL,15.0,B,773.7362637362637
R,DOMESTIC,15.0,D,4828.681318681318
R,DOMESTIC,15.0,C,5288.736263736264
R,AJUNTAMENT,15.0,W,13168.186813186814
R,DOMESTIC,15.0,C,10428.214285714284
R,COMERCIAL,15.0,W,2195.5219780219777
R,COMERCIAL,15.0,B,1668.6263736263736
R,DOMESTIC,15.0,C,8956.052631578947
R,DOMESTIC,15.0,C,6165.576923076923
R,DOMESTIC,15.0,B,1834.4505494505495
R,DOMESTIC,15.0,E,10499.58791208791
R,DOMESTIC,15.0,C,1631.5384615384617
R,DOMESTIC,15.0,C,1623.7912087912089
R,DOMESTIC,15.0,C,3337.4175824175823
R,DOMESTIC,15.0,E,11972.39010989011
R,DOMESTIC,15.0,C,6526.978021978022
R,DOMESTIC,15.0,E,6735.494505494506
R,DOMESTIC,15.0,C,12519.252336448597
R,DOMESTIC,15.0,C,8635.137362637364
R,DOMESTIC,15.0,B,6425.192307692308
R,DOMESTIC,15.0,C,3391.4102564102564
R,DOMESTIC,15.0,C,12679.615384615385
R,COMERCIAL,15.0,B,328.02197802197804
R,DOMESTIC,15.0,B,12000.494505494506
R,DOMESTIC,15.0,D,7575.329670329671
R,DOMESTIC,15.0,C,13269.725274725275
R,DOMESTIC,15.0,C,10476.593406593405
R,DOMESTIC,15.0,B,1959.5604395604394
R,DOMESTIC,15.0,B,10983.214285714284
R,DOMESTIC,15.0,C,9822.580645161292
R,DOMESTIC,15.0,C,4688.406593406593
R,DOMESTIC,15.0,E,8291.043956043955
R,DOMESTIC,15.0,C,4955.851648351649
R,DOMESTIC,15.0,C,8670.494505494506
R,DOMESTIC,15.0,B,6293.943661971832
R,DOMESTIC,15.0,C,4825.21978021978
R,DOMESTIC,15.0,D,11009.340659340658
R,DOMESTIC,15.0,B,11035.775862068966
R,DOMESTIC,15.0,C,4119.313186813187
R,DOMESTIC,15.0,B,2707.087912087912
R,AJUNTAMENT,15.0,W,6309.56043956044
R,DOMESTIC,15.0,C,6766.609442060086
R,DOMESTIC,15.0,C,6003.379120879121
R,DOMESTIC,15.0,B,4669.038461538462
R,DOMESTIC,15.0,E,8901.593406593405
R,DOMESTIC,15.0,C,3635.357142857143
R,DOMESTIC,15.0,D,6869.505494505494
R,DOMESTIC,15.0,C,12000.989010989011
R,DOMESTIC,15.0,E,10503.956043956045
R,DOMESTIC,15.0,C,4585.714285714286
R,DOMESTIC,15.0,D,10572.28021978022
R,DOMESTIC,15.0,B,7562.051282051282
R,DOMESTIC,15.0,D,7987.582417582418
R,DOMESTIC,15.0,E,6813.708791208791
R,DOMESTIC,15.0,B,0.0
R,DOMESTIC,15.0,B,9895.631868131868
R,DOMESTIC,15.0,C,5713.516483516484
R,DOMESTIC,15.0,D,8152.093862815885
R,DOMESTIC,15.0,D,2954.4230769230767
R,DOMESTIC,15.0,D,9446.043956043955
R,DOMESTIC,15.0,C,4445.686813186813
R,DOMESTIC,15.0,D,7655.851648351649
R,DOMESTIC,15.0,B,6183.296703296703
R,DOMESTIC,15.0,C,11519.670329670329
R,DOMESTIC,15.0,C,10777.747252747253
R,DOMESTIC,15.0,D,6060.082417582417
R,DOMESTIC,15.0,D,7043.324175824176
R,DOMESTIC,15.0,C,7877.307692307693
